Energy [GeV] 	 E^2.flux (best-fit) [TeVcm^(-2)s^(-1)] 	 E^2.flux (68%-low) [TeVcm^(-2)s^(-1)] 	 E^2.flux (68%-up) [TeVcm^(-2)s^(-1)]
216634.855123179 	 2.860374787e-13 	                  4.078706178e-14 	                  6.465354493e-13
221706.580826524 	 2.862502908e-13 	                  4.135733745e-14 	                  6.467256007e-13
226897.042739679 	 2.864632612e-13 	                  4.193558659e-14 	                  6.469337455e-13
232209.020643796 	 2.866763901e-13 	                  4.252192067e-14 	                  6.472025453e-13
237645.359398602 	 2.868896775e-13 	                  4.311645276e-14 	                  6.475099541e-13
243208.970465977 	 2.871031236e-13 	                  4.371929746e-14 	                  6.478576042e-13
248902.833469209 	 2.873167285e-13 	                  4.433057100e-14 	                  6.482798434e-13
254729.997788744 	 2.875304923e-13 	                  4.495039123e-14 	                  6.487398764e-13
260693.584195297 	 2.877444152e-13 	                  4.557887765e-14 	                  6.492457358e-13
266796.786521205 	 2.879584973e-13 	                  4.621615143e-14 	                  6.498244984e-13
273042.873370896 	 2.881727386e-13 	                  4.686233542e-14 	                  6.504446168e-13
279435.189871410 	 2.883871393e-13 	                  4.751755423e-14 	                  6.511098069e-13
285977.159463903 	 2.886016995e-13 	                  4.818193415e-14 	                  6.518126308e-13
292672.285737088 	 2.888164194e-13 	                  4.885560329e-14 	                  6.525525869e-13
299524.154303601 	 2.890312990e-13 	                  4.953869152e-14 	                  6.533329305e-13
306536.434720299 	 2.892463384e-13 	                  5.023133054e-14 	                  6.542392010e-13
313712.882453507 	 2.894615379e-13 	                  5.093365388e-14 	                  6.551467287e-13
321057.340890287 	 2.896768975e-13 	                  5.164579696e-14 	                  6.560656351e-13
328573.743396777 	 2.898924173e-13 	                  5.236789706e-14 	                  6.570554232e-13
336266.115424733 	 2.901080974e-13 	                  5.310009341e-14 	                  6.580942190e-13
344138.576667380 	 2.903239381e-13 	                  5.384252716e-14 	                  6.591670507e-13
352195.343265739 	 2.905399393e-13 	                  5.459534145e-14 	                  6.602951583e-13
360440.730066601 	 2.907561012e-13 	                  5.535868143e-14 	                  6.614472480e-13
368879.152933373 	 2.909724239e-13 	                  5.613269426e-14 	                  6.626073208e-13
377515.131111016 	 2.911889076e-13 	                  5.691752917e-14 	                  6.638486024e-13
386353.289646348 	 2.914055523e-13 	                  5.771333746e-14 	                  6.651356604e-13
395398.361865024 	 2.916223582e-13 	                  5.852027257e-14 	                  6.664693354e-13
404655.191906483 	 2.918393255e-13 	                  5.933849007e-14 	                  6.678799226e-13
414128.737318265 	 2.920564541e-13 	                  6.016814770e-14 	                  6.693465674e-13
423824.071711046 	 2.922737443e-13 	                  6.100940543e-14 	                  6.708446444e-13
433746.387475844 	 2.924911962e-13 	                  6.186242543e-14 	                  6.723487573e-13
443900.998564829 	 2.927088098e-13 	                  6.272737217e-14 	                  6.738940748e-13
454293.343337242 	 2.929265854e-13 	                  6.360441240e-14 	                  6.754842927e-13
464928.987471941 	 2.931445229e-13 	                  6.449371522e-14 	                  6.770782632e-13
475813.626948128 	 2.933626227e-13 	                  6.539545207e-14 	                  6.788179352e-13
486953.091095865 	 2.935808846e-13 	                  6.630979680e-14 	                  6.806187267e-13
498353.345718003 	 2.937993090e-13 	                  6.723692570e-14 	                  6.824643080e-13
510020.496285205 	 2.940178959e-13 	                  6.817701752e-14 	                  6.843238262e-13
521960.791205761 	 2.942366454e-13 	                  6.913025349e-14 	                  6.862153015e-13
534180.625171959 	 2.944555577e-13 	                  7.009681739e-14 	                  6.881782005e-13
546686.542584803 	 2.946746328e-13 	                  7.019022197e-14 	                  6.902207797e-13
559485.241058896 	 2.948938709e-13 	                  6.958195671e-14 	                  6.923474544e-13
572583.575009392 	 2.951132721e-13 	                  6.897896265e-14 	                  6.944965905e-13
585988.559322914 	 2.953328366e-13 	                  6.837993769e-14 	                  6.966745907e-13
599707.373114419 	 2.955525644e-13 	                  6.777272074e-14 	                  6.989061596e-13
613747.363572005 	 2.957724557e-13 	                  6.716216757e-14 	                  7.011896449e-13
628116.049891751 	 2.959925106e-13 	                  6.655711479e-14 	                  7.035559151e-13
642821.127304655 	 2.962127293e-13 	                  6.595493381e-14 	                  7.059867312e-13
657870.471197865 	 2.964331117e-13 	                  6.535726138e-14 	                  7.084745161e-13
673272.141332382 	 2.966536582e-13 	                  6.476500494e-14 	                  7.109900732e-13
689034.386159515 	 2.968743687e-13 	                  6.417039585e-14 	                  7.135331546e-13
705165.647238379 	 2.970952434e-13 	                  6.356571148e-14 	                  7.160853321e-13
721674.563756829 	 2.973162825e-13 	                  6.296634394e-14 	                  7.187297143e-13
738569.977158217 	 2.975374860e-13 	                  6.237262791e-14 	                  7.215202284e-13
755860.935876485 	 2.977588541e-13 	                  6.178451008e-14 	                  7.243412788e-13
773556.700182093 	 2.979803869e-13 	                  6.120189430e-14 	                  7.271967964e-13
791666.747141423 	 2.982020845e-13 	                  6.061826884e-14 	                  7.301532746e-13
810200.775692267 	 2.984239470e-13 	                  6.003052638e-14 	                  7.332096284e-13
829168.711838148 	 2.986459746e-13 	                  5.944398597e-14 	                  7.363109614e-13
848580.713964251 	 2.988681674e-13 	                  5.886317647e-14 	                  7.394455920e-13
868447.178277802 	 2.990905255e-13 	                  5.828804189e-14 	                  7.426309533e-13
888778.744375810 	 2.993130491e-13 	                  5.771852677e-14 	                  7.459429289e-13
909586.300943171 	 2.995357382e-13 	                  5.715457622e-14 	                  7.493381171e-13
930880.991584163 	 2.997585930e-13 	                  5.659473325e-14 	                  7.527586474e-13
952674.220790465 	 2.999816136e-13 	                  5.603407757e-14 	                  7.562681376e-13
974977.660048889 	 3.002048001e-13 	                  5.547184888e-14 	                  7.598947210e-13
997803.254092127 	 3.004281527e-13 	                  5.491241930e-14 	                  7.635479759e-13
1021163.227295807 	 3.006516714e-13 	                  5.435863153e-14 	                  7.672817907e-13
1045070.090225331 	 3.008753565e-13 	                  5.381042868e-14 	                  7.710447985e-13
1069536.646335978 	 3.010992079e-13 	                  5.326775440e-14 	                  7.748362598e-13
1094575.998829869 	 3.013232259e-13 	                  5.273055296e-14 	                  7.787311807e-13
1120201.557673453 	 3.015474106e-13 	                  5.219428621e-14 	                  7.827503841e-13
1146427.046779300 	 3.017717621e-13 	                  5.165508042e-14 	                  7.867991924e-13
1173266.511356017 	 3.019962805e-13 	                  5.112144503e-14 	                  7.908832651e-13
1200734.325430237 	 3.022209659e-13 	                  5.059332250e-14 	                  7.950440735e-13
1228845.199544704 	 3.024458185e-13 	                  5.007023731e-14 	                  7.993227220e-13
1257614.188636600 	 3.026708384e-13 	                  4.955070322e-14 	                  8.036800044e-13
1287056.700100295 	 3.028960257e-13 	                  4.903655987e-14 	                  8.080830223e-13
1317188.502038860 	 3.031213805e-13 	                  4.852775133e-14 	                  8.125485052e-13
1348025.731708770 	 3.033469030e-13 	                  4.802422224e-14 	                  8.170910742e-13
1379584.904162304 	 3.035725933e-13 	                  4.752591782e-14 	                  8.217778293e-13
1411882.921092260 	 3.037984516e-13 	                  4.703278385e-14 	                  8.265093195e-13
1444937.079883773 	 3.040244778e-13 	                  4.654476670e-14 	                  8.312793299e-13
1478765.082878013 	 3.042506722e-13 	                  4.606139537e-14 	                  8.361026739e-13
1513385.046852774 	 3.044770349e-13 	                  4.558001557e-14 	                  8.410301005e-13
1548815.512725023 	 3.047035660e-13 	                  4.510183585e-14 	                  8.460163243e-13
1585075.455480592 	 3.049302657e-13 	                  4.462506880e-14 	                  8.511094606e-13
1622184.294336332 	 3.051571340e-13 	                  4.415190340e-14 	                  8.562708643e-13
1660161.903140189 	 3.053841711e-13 	                  4.368237413e-14 	                  8.616307606e-13
1699028.621014758 	 3.056113771e-13 	                  4.321783803e-14 	                  8.670289980e-13
1738805.263250011 	 3.058387522e-13 	                  4.275824200e-14 	                  8.724720164e-13
1779513.132451035 	 3.060662964e-13 	                  4.230353350e-14 	                  8.780339072e-13
1821174.029946780 	 3.062940100e-13 	                  4.185366055e-14 	                  8.837444847e-13
1863810.267465875 	 3.065218929e-13 	                  4.140857173e-14 	                  8.895042675e-13
1907444.679085790 	 3.067499454e-13 	                  4.096821617e-14 	                  8.953104939e-13
1952100.633461774 	 3.069781676e-13 	                  4.053254353e-14 	                  9.012892549e-13
1997802.046342056 	 3.072065595e-13 	                  4.010150401e-14 	                  9.073712680e-13
2044573.393376067 	 3.074351214e-13 	                  3.967342335e-14 	                  9.135099032e-13
