Energy [GeV] 		 E^2.flux (95%-low) [TeVcm^(-2)s^(-1)] 	 E^2.flux (95%-up) [TeVcm^(-2)s^(-1)]
4999999.999999999 	 2.525673797e-11 	                  6.043037725e-11
4856151.438463374 	 2.561897984e-11 	                  6.088570045e-11
4716441.358657971 	 2.598641713e-11 	                  6.134445437e-11
4580750.697655012 	 2.635912434e-11 	                  6.180666484e-11
4448963.817931899 	 2.673717706e-11 	                  6.227235792e-11
4320968.408824291 	 2.712065196e-11 	                  6.274155985e-11
4196655.390813376 	 2.750962681e-11 	                  6.321429706e-11
4075918.822566691 	 2.790418048e-11 	                  6.369059619e-11
3958655.810653428 	 2.830439299e-11 	                  6.417129607e-11
3844766.421857208 	 2.871034550e-11 	                  6.465611431e-11
3734153.598011513 	 2.912212035e-11 	                  6.514459539e-11
3626723.073285352 	 2.953980102e-11 	                  6.563676698e-11
3522383.293848595 	 2.996347223e-11 	                  6.613265695e-11
3421045.339848442 	 3.039321990e-11 	                  6.663229341e-11
3322622.849630688 	 3.082601821e-11 	                  6.713570465e-11
3227031.946141062 	 3.126100357e-11 	                  6.764291919e-11
3134191.165444036 	 3.170212700e-11 	                  6.815396577e-11
3044021.387298052 	 3.214947511e-11 	                  6.866887334e-11
2956445.767728136 	 3.260313575e-11 	                  6.918767107e-11
2871389.673538390 	 3.306319798e-11 	                  6.971038835e-11
2788780.618708466 	 3.352975214e-11 	                  7.023705480e-11
2708548.202619974 	 3.400288983e-11 	                  7.076770024e-11
2630624.050060075 	 3.448270397e-11 	                  7.130235474e-11
2554941.752951117 	 3.496928875e-11 	                  7.184104859e-11
2481436.813756736 	 3.546273972e-11 	                  7.238381231e-11
2410046.590516149 	 3.596315377e-11 	                  7.293067664e-11
2340710.243459750 	 3.646324530e-11 	                  7.348167257e-11
2273368.683160599 	 3.696817345e-11 	                  7.403683131e-11
2207964.520177586 	 3.748009363e-11 	                  7.459618431e-11
2144442.016147296 	 3.799910268e-11 	                  7.515976325e-11
2082747.036282995 	 3.852529875e-11 	                  7.577316566e-11
2022827.003240199 	 3.905878137e-11 	                  7.640414465e-11
1964630.852309490 	 3.959965144e-11 	                  7.704037793e-11
1908108.987898447 	 4.014801126e-11 	                  7.768190927e-11
1853213.241265588 	 4.070396454e-11 	                  7.832878276e-11
1799896.829470251 	 4.126761643e-11 	                  7.898104291e-11
1748114.315503523 	 4.183907355e-11 	                  7.963873457e-11
1697821.569566170 	 4.241844397e-11 	                  8.030190296e-11
1648975.731460580 	 4.300583727e-11 	                  8.097059369e-11
1601535.174064695 	 4.359789957e-11 	                  8.164485275e-11
1555459.467856792 	 4.419413281e-11 	                  8.232472651e-11
1510709.346460847 	 4.479851998e-11 	                  8.301026171e-11
1467246.673183179 	 4.541117259e-11 	                  8.370150552e-11
1425034.408511819 	 4.603220368e-11 	                  8.439850545e-11
1384036.578550895 	 4.666172781e-11 	                  8.510130945e-11
1344218.244363171 	 4.729986115e-11 	                  8.580996584e-11
1305545.472194582 	 4.794672144e-11 	                  8.652452337e-11
1267985.304555414 	 4.860242801e-11 	                  8.724503116e-11
1231505.732133436 	 4.926710185e-11 	                  8.797153877e-11
1196075.666515135 	 4.993584051e-11 	                  8.870409616e-11
1161664.913691703 	 5.061113223e-11 	                  8.944275372e-11
1128244.148327279 	 5.129555604e-11 	                  9.018756222e-11
1095784.888767478 	 5.197828135e-11 	                  9.094043054e-11
1064259.472766923 	 5.265146856e-11 	                  9.172394424e-11
1033641.033915074 	 5.333337444e-11 	                  9.251420845e-11
1003903.478740289 	 5.402411190e-11 	                  9.331128133e-11
975021.464472608 	 5.472379531e-11 	                  9.411522153e-11
946970.377446264 	 5.543254055e-11 	                  9.492608822e-11
919726.312123575 	 5.614891230e-11 	                  9.579214294e-11
893266.050722302 	 5.686541268e-11 	                  9.668145124e-11
867567.043429121 	 5.759105613e-11 	                  9.757901564e-11
842607.389182347 	 5.832595931e-11 	                  9.848491278e-11
818365.817007545 	 5.906783345e-11 	                  9.939922002e-11
794821.667890089 	 5.981145634e-11 	                  1.003220154e-10
771954.877169261 	 6.054566083e-11 	                  1.012533779e-10
749745.957438865 	 6.127098574e-11 	                  1.021933868e-10
728175.981939769 	 6.199800668e-11 	                  1.031421225e-10
707226.568430256 	 6.273365420e-11 	                  1.040996660e-10
686879.863520421 	 6.347189273e-11 	                  1.050660991e-10
667118.527457244 	 6.418650137e-11 	                  1.060415043e-10
647925.719347413 	 6.490170214e-11 	                  1.070277588e-10
629285.082805270 	 6.562487206e-11 	                  1.080270765e-10
611180.732013671 	 6.635609993e-11 	                  1.090357249e-10
