Energy [GeV] 	 E^2.flux (best-fit) [TeVcm^(-2)s^(-1)] 	 E^2.flux (95%-low) [TeVcm^(-2)s^(-1)] 	 E^2.flux (95%-up) [TeVcm^(-2)s^(-1)]
3490.803718441 	 1.131404866e-11 	                  5.197150209e-12 	                  1.843536592e-11
3531.429621484 	 1.115869486e-11 	                  5.099375120e-12 	                  1.819451627e-11
3572.528327964 	 1.100547422e-11 	                  5.003076312e-12 	                  1.795788538e-11
3614.105340359 	 1.085435746e-11 	                  4.908596052e-12 	                  1.772470106e-11
3656.166225183 	 1.070531570e-11 	                  4.815759858e-12 	                  1.749489235e-11
3698.716613734 	 1.055832044e-11 	                  4.724166282e-12 	                  1.726869605e-11
3741.762202845 	 1.041334358e-11 	                  4.634314775e-12 	                  1.704573396e-11
3785.308755652 	 1.027035740e-11 	                  4.546172203e-12 	                  1.682664814e-11
3829.362102359 	 1.012933457e-11 	                  4.459147849e-12 	                  1.661039797e-11
3873.928141024 	 9.990248135e-12 	                  4.373751601e-12 	                  1.639725824e-11
3919.012838345 	 9.853071503e-12 	                  4.289990760e-12 	                  1.618734721e-11
3964.622230461 	 9.717778451e-12 	                  4.207771892e-12 	                  1.598093441e-11
4010.762423760 	 9.584343115e-12 	                  4.126655234e-12 	                  1.577792784e-11
4057.439595695 	 9.452739987e-12 	                  4.047102328e-12 	                  1.557753910e-11
4104.659995612 	 9.322943908e-12 	                  3.969083029e-12 	                  1.537970422e-11
4152.429945588 	 9.194930067e-12 	                  3.892567771e-12 	                  1.518455935e-11
4200.755841275 	 9.068673990e-12 	                  3.817183864e-12 	                  1.499312348e-11
4249.644152759 	 8.944151542e-12 	                  3.743129373e-12 	                  1.480451724e-11
4299.101425422 	 8.821338918e-12 	                  3.670511560e-12 	                  1.461869825e-11
4349.134280824 	 8.700212642e-12 	                  3.599302555e-12 	                  1.443527496e-11
4399.749417585 	 8.580749556e-12 	                  3.529272118e-12 	                  1.425472940e-11
4450.953612283 	 8.462926825e-12 	                  3.460410389e-12 	                  1.407696235e-11
4502.753720363 	 8.346721924e-12 	                  3.392867930e-12 	                  1.390141891e-11
